host_since,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,price,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_location,calculated_host_listings_count,reviews_per_month,host_days_active,bathrooms,Air conditioning,TV,Extra pillows and blankets,Heating,time_since_first_review,first_review_interval,time_since_last_review,last_review_interval
2021-07-12,Ajuda,38.70377,-9.20074,Entire home/apt,4,78.0,3,1125,1,185,9,9,3,2022-05-06,2022-08-28,4.56,4.67,1,2.05,425.0,1.0,0,1,0,0,131.0,0-6 months,17.0,2-8 weeks
2022-04-03,Belm,38.69759,-9.194383,Entire home/apt,4,80.0,2,30,0,52,13,13,0,2022-04-18,2022-07-31,4.62,4.62,1,2.62,160.0,1.0,1,1,1,0,149.0,0-6 months,45.0,2-8 weeks
2022-04-03,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.80332,-9.38187,Entire home/apt,4,81.0,3,365,14,349,10,10,1,2022-04-16,2022-08-19,4.8,4.9,1,1.99,160.0,1.0,0,1,1,0,151.0,0-6 months,26.0,2-8 weeks
2013-06-25,Belm,38.70155,-9.20313,Entire home/apt,2,144.0,2,1125,19,169,12,12,3,2022-06-13,2022-09-09,4.58,4.83,1,3.87,3364.0,1.0,0,1,1,0,93.0,0-6 months,5.0,0-2 weeks
2019-12-17,Ajuda,38.70527,-9.20097,Entire home/apt,4,149.0,1,365,5,333,5,5,1,2022-07-10,2022-08-17,3.6,3.8,22,2.24,998.0,1.0,0,1,1,0,66.0,0-6 months,28.0,2-8 weeks
2022-04-06,Arroios,38.727676,-9.131687,Entire home/apt,6,139.0,3,365,1,319,1,1,0,2022-04-26,2022-04-26,3.0,5.0,21,0.21,157.0,1.0,0,1,0,0,141.0,0-6 months,141.0,2-6 months
2019-11-24,Estrela,38.70517,-9.16217,Entire home/apt,3,89.0,1,365,9,333,6,6,1,2022-05-23,2022-08-19,4.67,4.83,1,1.57,1021.0,1.0,0,1,0,0,114.0,0-6 months,26.0,2-8 weeks
2022-04-06,Arroios,38.7276,-9.1439,Entire home/apt,6,189.0,2,365,15,350,1,1,0,2022-06-27,2022-06-27,3.0,3.0,21,0.37,157.0,2.0,0,1,0,0,79.0,0-6 months,79.0,2-6 months
2022-04-06,Santo Antnio,38.725708,-9.144407,Entire home/apt,6,179.0,3,365,0,335,4,4,1,2022-07-15,2022-08-20,4.5,4.75,21,1.94,157.0,1.0,1,1,0,0,61.0,0-6 months,25.0,2-8 weeks
2022-02-07,Alcntara,38.7073,-9.17461,Private room,2,76.0,2,365,7,157,6,6,2,2022-06-11,2022-08-21,4.17,4.5,4,1.88,215.0,1.0,1,1,1,1,95.0,0-6 months,24.0,2-8 weeks
2021-08-19,Santo Antnio,38.71918,-9.14268,Entire home/apt,6,156.0,31,1125,0,80,1,1,0,2022-08-08,2022-08-08,3.0,2.0,50,0.79,387.0,2.0,0,1,0,0,37.0,0-6 months,37.0,2-8 weeks
2022-03-28,Cascais e Estoril,38.70305,-9.39456,Entire home/apt,4,109.0,2,365,5,333,7,7,1,2022-05-13,2022-08-29,4.86,4.86,1,1.68,166.0,1.0,1,1,0,0,124.0,0-6 months,16.0,2-8 weeks
2022-04-06,So Vicente,38.716892,-9.121528,Entire home/apt,4,139.0,3,365,0,198,2,2,0,2022-07-06,2022-07-19,3.5,4.0,21,0.85,157.0,2.0,0,1,0,0,70.0,0-6 months,57.0,2-6 months
2019-01-23,Avenidas Novas,38.73497,-9.14951,Private room,2,90.0,7,90,28,178,8,8,1,2022-05-23,2022-08-17,4.75,5.0,14,2.09,1326.0,2.0,0,1,1,1,114.0,0-6 months,28.0,2-8 weeks
2014-09-06,Belm,38.70351,-9.20265,Entire home/apt,6,142.0,1,365,8,316,33,33,8,2022-04-25,2022-09-11,4.82,4.61,28,6.97,2926.0,1.0,0,1,0,0,142.0,0-6 months,3.0,0-2 weeks
