latitude,longitude,accommodates,price,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_location,calculated_host_listings_count,reviews_per_month,bathrooms,Air conditioning,TV,Extra pillows and blankets,Heating,time_since_first_review,time_since_last_review,host_days_active,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room
38.72621,-9.14318,10,191.0,3,365,14,309,4,2,0,3.75,4.75,7,0.06,3.0,0,1,1,1,1976.0,135.0,3938.0,1,0,0,0
38.72486,-9.14329,6,120.0,3,365,0,228,9,0,0,4.22,4.25,7,0.09,1.0,0,1,0,1,3030.0,1047.0,3938.0,1,0,0,0
38.71308,-9.14514,7,185.0,5,365,0,253,12,4,0,4.33,4.75,4,0.1,2.0,0,1,1,0,3482.0,50.0,4115.0,1,0,0,0
38.71841,-9.1233,2,127.0,7,1125,5,338,202,3,2,4.51,4.56,2,1.5,1.0,0,1,0,1,4044.0,13.0,4121.0,1,0,0,0
38.7338,-9.133,2,32.0,1,1125,0,305,520,72,2,4.61,4.67,2,4.22,1.0,0,1,1,1,3695.0,18.0,3815.0,0,0,1,0
38.71956,-9.14255,4,109.0,2,1125,4,71,116,10,3,4.81,4.94,1,0.92,1.0,0,1,1,1,3767.0,15.0,3814.0,1,0,0,0
38.71298,-9.14541,4,99.0,4,363,4,167,244,13,3,4.75,4.89,2,1.79,1.0,0,1,1,1,4081.0,9.0,4120.0,1,0,0,0
38.71236,-9.13129,3,80.0,2,30,3,126,258,58,8,4.8,4.95,2,1.95,1.0,0,1,1,1,3977.0,2.0,4122.0,1,0,0,0
38.71099,-9.14829,6,97.0,3,185,0,326,298,16,4,4.58,4.81,21,2.3,1.0,0,1,1,0,3879.0,4.0,4035.0,1,0,0,0
38.7213,-9.14437,2,91.0,2,1125,0,291,600,43,4,4.88,4.87,2,4.65,1.0,1,1,1,1,3867.0,6.0,3257.0,1,0,0,0
38.71231,-9.12918,2,52.0,3,365,2,279,432,69,6,4.83,4.88,1,3.17,1.0,0,1,1,0,4082.0,9.0,4116.0,1,0,0,0
38.72199,-9.14002,6,89.0,2,365,5,112,87,12,3,4.73,4.76,7,0.71,1.0,1,1,0,1,3655.0,19.0,3910.0,1,0,0,0
38.72419,-9.1474,4,110.0,3,180,0,55,103,18,2,4.87,4.92,7,0.81,1.0,1,1,0,1,3807.0,21.0,3910.0,1,0,0,0
39.23805,-9.12181,5,89.0,3,60,15,350,92,23,3,4.68,4.6,4,0.75,1.0,0,1,1,0,3664.0,3.0,4081.0,1,0,0,0
38.72138,-9.13945,6,80.0,1,365,2,94,130,10,3,4.68,4.56,7,1.07,1.0,1,1,0,1,3644.0,9.0,3910.0,1,0,0,0
38.71064,-9.13278,4,99.0,2,365,2,26,117,8,3,4.76,4.94,3,0.87,1.5,0,0,0,1,4032.0,9.0,4116.0,1,0,0,0
38.71308,-9.14514,12,207.0,3,380,0,197,30,1,0,4.07,4.73,4,0.23,2.0,0,1,1,0,3943.0,51.0,4115.0,1,0,0,0
38.71308,-9.14514,7,194.0,5,367,0,250,20,1,0,4.2,4.47,4,0.17,1.0,1,1,0,0,3539.0,64.0,4115.0,1,0,0,0
38.71279,-9.14503,4,80.0,3,1125,0,307,449,37,3,4.59,4.83,1,3.54,1.0,0,1,1,1,3802.0,23.0,3904.0,1,0,0,0
38.71296,-9.1363,5,177.0,2,365,2,312,75,19,0,4.95,4.96,16,0.69,2.0,1,1,0,1,3271.0,47.0,4060.0,1,0,0,0
